,Positive tweets,Life births rate,Mortality rate,Patients with diabetes mellitus,Patients with chronic alcohol abuse,Patients with tobacco abuse,Patients with obesity,Patients with hypertension,Patients diagnosed with dementia,Patients diagnosed with anxiety disorder,Patients diagnosed with depressive disorder,People with low literacy ratio,Unemployed people ratio,Population density,Gender ratio,Youth people ratio,Elderly people ratio,Average age of buildings,Buildings with repair needs ratio,Walkability index,Altimetry,Beds/customers in tourist accommodations,Density of fast food outlets,Normalized difference vegetation index (NDVI),Noise level,Particulate Matter (PM2.5),Mean temperature,Extreme heat vulnerability,Vulnerability to flash floods index,Nitrogen Dioxide,Distance to green spaces
3143,0.0,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2843990659,75.758065819,0.0102076549054,0.0,13.8525338177,18.3689971457,1964.5775365,89.1164529828,-0.122298944742,153.627744819,4679,0.0,0.735859858551,65.3293137608,8.56633628704,21.4661405172,0.462282877888,0.192429397165,,0.999265506331
3144,0.0,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0102076549054,0.0,0.0,100.0,1970.5,100.0,-0.324425296722,171.021067577,4679,0.0,0.778457803638,64.6128765423,8.53689630266,21.3521402063,0.462282877888,0.192429397165,,1.0
3145,1.93981292409e-05,8.5402409366,16.7411345512,7.43062399212,1.26836402703,13.7171735061,13.4679083885,68.2379477762,4.41791298533,6.91464134145,10.789965333,100.0,100.0,0.0102076549054,0.0,0.0,100.0,1970.5,100.0,-0.351325344546,171.266207003,4679,0.0,0.759423881169,64.4231892487,8.51680171913,21.3722009559,0.462282877888,0.192429397165,,0.995482697045
3146,2.80485698503e-05,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0102076549054,0.0,0.0,100.0,1970.5,100.0,-0.431892587041,166.990486095,4679,0.0,0.815637372005,63.888381909,8.50808613807,21.4073439151,0.462282877888,0.192429397165,,0.999543219292
3147,0.0,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5857281838,81.8013328148,0.0102076549054,0.0,18.5356795405,49.1111343524,1970.5,98.2567012066,0.0241142961221,154.296598744,4679,0.0,0.780752173248,65.3366540537,8.51419229007,21.4716447234,0.462282877888,0.192429397165,,0.999876664979
3148,0.0,8.5402409366,16.7411345512,7.43062399212,1.26836402703,13.7171735061,13.4679083885,68.2379477762,4.41791298533,6.91464134145,10.789965333,88.460063492,71.6747012986,0.0102076549054,0.0,28.84984127,20.7940721497,1970.5,76.8580035779,-0.163423805785,139.863009477,4679,0.0,0.77415566717,69.141939352,8.53795382288,21.5407724072,0.462282877888,0.192429397165,,0.999229280371
3149,0.0,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4332614753,71.6089145303,0.0102076549054,0.0,28.9168463117,20.6101128533,1970.5,75.6113844363,0.052141856721,139.698760505,4679,0.0,0.775401961932,73.431306141,8.57818087236,21.5650679575,0.462282877888,0.192429397165,,0.999648145771
3150,3.6931941699e-05,10.4152104012,17.7547882008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3914824104,71.5063659163,0.0102076549054,0.0,29.0212939741,20.3233565438,1970.5,80.09440995,0.0993819997957,141.417703478,1513,0.0,0.59192699244,82.2001267677,8.63100464127,21.8538404707,0.479429341068,0.192429397165,,0.993407219378
3151,0.0169077188052,10.4152104012,17.7547882008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.5,100.0,-0.289162808591,156.029620214,1513,0.0,0.786413618496,69.2798091251,8.69242658612,21.5038842482,0.479429341068,0.192429397165,,0.999658490839
3152,0.0487892145054,10.4152104012,17.7547882008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.5,100.0,0.491224395999,169.415222248,1513,0.0,0.738244427371,64.834750938,8.75945800844,21.4975351772,0.479429341068,0.192429397165,,0.996682887149
3153,0.0415438447018,10.4152104012,17.7547882008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.5,100.0,0.466899629235,166.366207452,1513,0.0,0.645939833426,69.1376673677,8.82974550731,21.7010993052,0.479429341068,0.192429397165,,0.997698344451
3154,0.0728374099847,10.4152104012,17.7547882008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.673283099835,151.177209338,1513,1.45821974405e-05,0.784631772925,62.3552072758,8.90218855538,21.5942492065,0.479429341068,0.192429397165,,0.999986983785
3155,0.565054288694,10.4152104012,17.7547882008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.818028232412,130.700050075,1513,0.000207543871814,0.770995707852,60.8293392191,8.97569222867,21.8336391572,0.479429341068,0.192429397165,,0.998802725137
3156,1.00262931222,10.4152104012,17.7547882008,7.75865490136,0.927966559992,12.3931521116,10.6569127836,15.8801101276,0.873933585518,6.9077797679,9.6071227359,55.4455445545,51.4851485149,0.0,0.0,18.8118811881,19.801980198,1958.84615385,96.1538461538,-0.267052350114,124.80529235,1513,0.00061940187097,0.421030194557,65.9512872559,9.04784267164,22.1388243007,0.479429341068,0.192429397165,,0.99464861929
3157,0.718770262683,10.4152104012,17.7547882008,7.57930714017,0.846250985104,11.3018266338,10.4105693809,19.7940099567,1.08932809372,6.74810069312,9.38504610329,71.4828121806,64.4370682183,79.345858177,77.5,24.6951251509,23.865549509,1957.61790396,59.151548694,-0.396676985289,121.095755335,1513,0.00108655989988,0.281011603458,54.2074160243,9.11452542947,22.4095043987,0.479429341068,0.192429397165,,0.882192620996
3158,0.184884098287,10.4152104012,17.7547882008,7.60323866996,0.845917364651,11.2973710756,10.4434405717,20.2255221179,1.11307559718,6.76940770308,9.41467922227,71.7580609709,67.5125652308,83.7321259814,126.086956522,25.8554336948,25.3738244867,1955.66891523,36.9420024779,0.199036759787,115.607337478,1513,0.00146859670937,0.182429074835,50.6071633883,9.16996668572,22.5321476529,0.479429341068,0.192429397165,,0.408971291089
