,Time,GPS_Data,GPS_Time,Sound Pressure,Humidity,PM1.0,PM2.5,PM10,Solar Light,Air Temperature,North_Wind,East_Wind,Gust_Wind,TGlobe,Latitude,Longitude,Wind Speed,MRT,MRT_S,UTCI
409,2023-06-19 15:27:59,60180.0,53602669.0,791.89898989899,50.6084,3.0,4.202020202020202,5.0,0.0,25.0,-2.990000009536743,0.36000001430511475,3.009999990463257,25.0,51.51483143,-0.065751815,3.0115942733591137,25.0,25.0,22.4
410,2023-06-19 15:28:00,60180.0,53603568.0,746.6464646464647,50.662772277227724,3.0,4.0594059405940595,5.0,0.0,25.100000381469727,-3.7800002098083496,-0.3700000047683716,3.799999952316284,25.100000381469727,51.514831219,-0.065695461,3.798065506238638,25.100000381469727,25.100000381469727,21.5
411,2023-06-19 15:28:01,60180.0,53604568.0,747.6666666666666,50.708800000000004,3.0,5.0,5.0,0.0,25.299999237060547,-3.9100000858306885,-0.9200000762939453,4.025000095367432,25.299999237060547,51.514841879,-0.065667131,4.016777416235166,25.299999237060547,25.299999237060547,21.5
412,2023-06-19 15:28:02,60180.0,53605568.0,741.64,50.76336633663366,3.0,4.702970297029703,5.0,0.0,25.100000381469727,-4.019999980926514,-0.6149999499320984,4.130000114440918,25.100000381469727,51.514839532,-0.065645779,4.066770805573588,25.100000381469727,25.100000381469727,21.1
413,2023-06-19 15:28:03,60180.0,53606568.0,736.8080808080808,50.809200000000004,3.0,4.0,5.0,0.0,25.0,-3.7200000286102295,-1.2699999809265137,3.930000066757202,25.0,51.514833308,-0.06562614,3.9308141859433463,25.0,25.0,21.2
414,2023-06-19 15:28:04,60180.0,53607568.0,736.6161616161617,50.849306930693075,3.0,4.0,5.0,0.0,24.950000762939453,-3.7699999809265137,-0.5600000023841858,3.8350000381469727,24.950000762939453,51.514819642,-0.065613113,3.8113645665110814,24.950000762939453,24.950000762939453,21.3
415,2023-06-19 15:28:05,60180.0,53608568.0,732.63,50.87485148514851,3.0,4.0,5.0,0.0,24.849998474121094,-4.75,-0.6050000190734863,4.795000076293945,24.849998474121094,51.514804514,-0.065602872,4.788373943530196,24.849998474121094,24.849998474121094,20.1
416,2023-06-19 15:28:06,60180.0,53609568.0,743.1212121212121,50.895,3.0,4.767676767676767,5.767676767676767,0.0,24.899999618530273,-4.549999713897705,-0.675000011920929,4.614999771118164,24.899999618530273,51.514793798,-0.0655893,4.599795909881487,24.899999618530273,24.899999618530273,20.3
417,2023-06-19 15:28:07,60180.0,53610568.0,733.3030303030303,50.88495049504951,3.0,5.0,6.0,0.0,24.899999618530273,-4.730000019073486,-0.07999999821186066,4.730000019073486,24.899999618530273,51.514794525,-0.065566069,4.730676503434692,24.899999618530273,24.899999618530273,20.2
418,2023-06-19 15:28:08,60180.0,53611568.0,717.02,50.88,3.0,5.0,6.0,0.0,24.850000381469727,-4.309999942779541,-0.29500001668930054,4.315000057220459,24.850000381469727,51.514795591,-0.065545028,4.3200838552748415,24.850000381469727,24.850000381469727,20.6
419,2023-06-19 15:28:09,60180.0,53612568.0,730.8787878787879,50.86475247524752,3.0,5.257425742574258,6.0,0.0,24.899999618530273,-4.099999904632568,-0.3700000047683716,4.119999885559082,24.899999618530273,51.51480222,-0.065518276,4.116661173999588,24.899999618530273,24.899999618530273,20.9
420,2023-06-19 15:28:10,60180.0,53613568.0,725.87,50.84455445544554,3.0,6.0,6.0,0.0,24.899999618530273,-4.074999809265137,0.015000004321336746,4.074999809265137,24.899999618530273,51.514811098,-0.065492602,4.075027416550782,24.899999618530273,24.899999618530273,20.9
421,2023-06-19 15:28:11,60180.0,53614568.0,727.3636363636364,50.8244,3.0,5.51,6.0,0.0,24.849998474121094,-3.820000171661377,-0.05500000715255737,3.8550000190734863,24.849998474121094,51.514816526,-0.065467758,3.820396093637377,24.849998474121094,24.849998474121094,21.1
422,2023-06-19 15:28:12,60180.0,53615469.0,731.4141414141415,50.82,3.0,5.0,6.0,0.0,24.899999618530273,-4.305000305175781,0.6949999332427979,4.385000228881836,24.899999618530273,51.514819918,-0.065447447,4.36073990680149,24.899999618530273,24.899999618530273,20.6
423,2023-06-19 15:28:13,60180.0,53616469.0,736.3535353535353,50.7963,3.0,5.0,6.0,0.0,25.049999237060547,-4.755000114440918,0.3449999988079071,4.809999942779541,25.049999237060547,51.514825113,-0.065422656,4.767499458574757,25.049999237060547,25.049999237060547,20.3
424,2023-06-19 15:28:14,60180.0,53617469.0,735.54,50.79,3.0,5.0,6.79,0.0,25.0,-4.010000228881836,0.27000001072883606,4.010000228881836,25.0,51.514829431,-0.065403161,4.019079725686709,25.0,25.0,21.1
425,2023-06-19 15:28:15,60180.0,53618469.0,734.6868686868687,50.79,3.0,5.0,7.0,0.0,24.899999618530273,-2.490000009536743,-0.8450000286102295,2.8350000381469727,24.899999618530273,51.514833553,-0.065385247,2.6294723987606847,24.899999618530273,24.899999618530273,22.5
426,2023-06-19 15:28:16,60180.0,53619469.0,731.4897959183673,50.79,3.0,5.0,7.0,0.0,24.899999618530273,-3.740000009536743,-1.3450000286102295,3.9850001335144043,24.899999618530273,51.514839142,-0.065364843,3.9744968421545335,24.899999618530273,24.899999618530273,21.0
427,2023-06-19 15:28:17,60180.0,53620469.0,729.49,50.79,3.0,5.0,7.0,0.0,24.75,-3.9150002002716064,-2.4599997997283936,4.644999980926514,24.75,51.514841577,-0.065344416,4.623724211367981,24.75,24.75,20.1
428,2023-06-19 15:28:18,60180.0,53621469.0,736.2424242424242,50.79,3.0,5.0,7.0,0.0,24.600000381469727,-1.6699999570846558,-2.630000114440918,3.119999885559082,24.600000381469727,51.514844599,-0.065322324,3.115413368819938,24.600000381469727,24.600000381469727,21.7
429,2023-06-19 15:28:19,60180.0,53622469.0,722.3131313131313,50.8146,3.0,5.0,7.0,0.0,24.5,-2.2049999237060547,-1.7249999046325684,2.8499999046325684,24.5,51.514845145,-0.065303299,2.7995802068392464,24.5,24.5,22.0
430,2023-06-19 15:28:20,60180.0,53623469.0,724.5,50.83643564356436,3.0,5.0,7.0,0.0,24.5,-2.4700000286102295,-1.7200000286102295,3.009999990463257,24.5,51.514845303,-0.065284027,3.0098671465288507,24.5,24.5,21.8
431,2023-06-19 15:28:21,60180.0,53624469.0,749.2551020408164,50.85656565656566,3.0,5.0,7.0,0.0,24.450000762939453,-1.0499999523162842,-2.005000114440918,2.2799999713897705,24.450000762939453,51.514845532,-0.065264771,2.263299661726722,24.450000762939453,24.450000762939453,22.7
