,Chroni obstructive pulmonary disease,Area deprivation index,Gender ratio,National walkability index,Per capita income,Crude percent of adults with depression,Percentage of people with disability,Life expectancy at birth,Number of people travel by bicycle to work,Number of people with disability - Aged 5 and above,Average travel time to work,Coronary heart disease,Current ashthma,Diabetes,High blood pressure,No leisure time physical activity,Obesity,Physical health not good for people aged above 18,Stroke
41,8.9,9.0,121.0,14.0,27685.0,,13.45,72.8,0.0,,,6.1,12.6,12.0,32.0,32.4,42.2,16.4,3.6
42,6.2,9.0,129.0,14.5,20195.0,,18.86,73.5,0.0,,26.0,4.6,11.5,9.0,27.3,23.4,36.0,11.8,2.7
43,7.8,7.0,56.0,13.17,29634.0,,13.2,73.7,50.0,,,6.1,10.7,10.9,35.4,26.4,39.5,13.9,3.4
44,5.2,9.0,128.0,11.17,35773.0,,0.0,78.7,0.0,,,4.1,10.6,7.6,24.9,19.9,33.9,10.3,2.2
45,9.9,8.0,131.0,9.5,31546.0,,0.0,,0.0,,,6.2,13.9,12.9,33.5,34.3,44.1,17.9,3.9
46,7.5,7.0,70.0,8.67,30000.0,,,,0.0,,,5.0,12.5,10.7,28.2,31.8,41.5,15.4,3.0
47,,9.0,82.0,15.17,18987.0,,,,0.0,,,,,,,,,,
48,,9.0,115.0,12.83,16621.0,,14.13,,0.0,,,,,,,,,,
49,,9.0,94.0,7.67,26042.0,,14.52,,0.0,,,,,,,,,,
50,,9.0,148.0,14.5,41282.0,,14.52,80.0,0.0,,,,,,,,,,
51,,9.0,140.0,10.17,11823.0,,15.83,74.3,0.0,,,,,,,,,,
52,,3.0,143.0,11.83,40942.0,,16.43,74.3,0.0,,18.0,,,,,,,,
53,,9.0,92.0,9.0,25689.0,,,77.7,,,,,,,,,,,
54,,9.0,168.0,13.33,13792.0,,,82.6,,,,,,,,,,,
55,,9.0,104.0,11.17,18928.0,,,,,,,,,,,,,,
56,,8.0,136.0,12.5,25986.0,,,,,,,,,,,,,,
57,,9.0,65.0,12.17,21765.0,,,,,,,,,,,,,,
58,,8.0,152.0,15.67,16625.0,,,,,,,,,,,,,,
59,,4.0,149.0,12.33,39721.0,,,,,,,,,,,,,,
60,,9.0,100.0,14.5,26949.0,,,,,,,,,,,,,,
61,,9.0,101.0,12.67,26433.0,,,,,,,,,,,,,,
62,,2.0,76.0,13.33,24607.0,,,,,,,,,,,,,,
63,,9.0,57.0,11.17,14232.0,,,,,,,,,,,,,,
64,,7.0,120.0,12.17,30829.0,,,,,,,,,,,,,,
65,,6.0,142.0,14.5,32477.0,,,,,,,,,,,,,,
66,,8.0,92.0,13.83,22162.0,,,,,,,,,,,,,,
67,,6.0,74.0,12.0,27197.0,,,,,,,,,,,,,,
68,,7.0,179.0,15.0,43598.0,,,,,,,,,,,,,,
69,,8.0,84.0,11.17,22345.0,,,,,,,,,,,,,,
70,,4.0,95.0,14.83,17974.0,,,,,,,,,,,,,,
