,Normalized difference vegetation index (NDVI),Annual mean PM2.5,Annual mean PM10,Annual mean NO2 concentrations,Annual average noise levels of rail noise,Major summer heat spots,Cycling routes density,Land use diversity,Proportion of population with access to public open space,Prevalence rates of cardiovascular diseases,Prevalence rates of obesity,Prevalence rates of depression,Prevalence rates of mental health issues,Prevalence rates of dementia,Population density,Gender ratio,The ratio of elder people,The ratio of active people,The number of recorded crimes
0,0.5209000110626221,10.19642522222223,3.394843492592592,25.797577592592607,0.38,31.29282136396928,480.02899169921875,2.0252950191497803,0.38,0.8044027913184393,3.824087460835775,7.482485214869182,0.8207916645776658,0.46490259610471274,463.5,93.65000297909691,0.16704761875527246,0.8119999766349792,10.761904761904763
1,0.5992500185966492,10.177124,3.3293424384615378,25.46510757692308,0.31,30.94978931971959,480.02899169921875,2.0252950191497803,0.31,0.7942154662949699,3.757216215133667,6.6988205909729,0.8247328060013908,0.3170779177120754,2740.0,103.8000008719308,0.1104285695723125,0.8119999766349792,3.857142857142857
2,0.6576240768253677,10.182522925925932,3.3272847740740747,25.294058407407416,0.23,31.348612785339355,480.02899169921875,2.0252950191497803,0.23,0.809827595949173,4.15028989315033,7.333824396133423,0.8490438759326935,0.3796786665916443,3993.0,100.8499984741211,0.1405000016093254,0.8119999766349792,1.0
3,0.6062334422068911,10.282035076923064,3.489598380769231,25.6788048846154,0.38,31.600808673434788,480.02899169921875,2.0252950191497803,0.38,0.814548447018578,4.250467164175851,7.562224115644183,0.8544439361208961,0.409147614524478,4067.0476190476193,99.14761715843564,0.1532380978266398,0.8119999766349792,1.0
4,0.3514000028371811,10.838572703703704,4.9415151777777755,28.97618881481481,0.54,32.76718417080966,377.52801513671875,2.074491024017334,0.54,0.940384661867505,5.09207622777848,6.070562953040714,1.1483223338921864,0.23571421738181794,9425.166666666666,103.18809400285993,0.1127142860953297,0.8330000042915344,2.1904761904761907
5,0.21124989031163016,11.077176461538466,6.2032499269230765,30.756784884615403,0.69,32.66184616088867,0.69,0.69,0.69,1.0086739347094582,5.824943020230248,6.389930361793155,1.2036781367801486,0.25396535155319033,8523.142857142857,104.38571348644439,0.10476190419424147,0.69,6.285714285714286
6,0.12823080038581217,11.26774238461539,6.213451434615379,31.776992,57.27272727272727,32.98930358886719,377.52801513671875,2.074491024017334,0.69,1.0347070878460294,6.627206501506624,5.912795941034953,1.1505314991587685,0.37465940025590716,3895.9761904761904,112.78809502011254,0.09221428827870459,0.8330000042915344,14.142857142857142
7,0.3212999999523163,10.704747296296286,5.144499162962962,29.01398018518519,0.62,29.088124439634125,480.02899169921875,2.0252950191497803,0.62,0.8058878694261823,4.764249415624709,6.0563116527739025,0.7622182567914327,0.3931022101924533,2870.8571428571427,103.31428600492931,0.1433333321696236,0.8119999766349792,6.333333333333333
8,0.5673999786376953,10.659128730769229,5.788962869230769,28.483300307692314,0.46,30.89030833471389,480.02899169921875,2.0252950191497803,0.46,0.8044045908110482,4.013140950884138,7.301038401467459,0.8338116918291364,0.44111460021563936,482.0,94.31428854806083,0.15885714228664125,0.8119999766349792,13.571428571428571
9,0.5731833021849155,10.097593230769231,3.1900532653846145,25.034321384615367,0.38,31.112033462524415,480.02899169921875,2.0252950191497803,0.38,0.8127117327281407,4.005031693549383,7.441598880858648,0.8601186772187551,0.4383104848010199,1572.2380952380952,92.61904979887463,0.15152380917043912,0.8119999766349792,9.571428571428571
10,0.5209000110626221,10.329115074074082,3.6340394444444466,26.572331814814802,0.46,31.477357773553756,480.02899169921875,2.0252950191497803,0.46,0.8092703734125409,4.069603113901048,6.530035541171119,0.8759300680387587,0.2566870678038824,4110.0952380952385,103.0,0.10509523607435681,0.8119999766349792,4.238095238095238
11,0.6675125328963833,10.2354445,3.446945065384613,25.82549784615384,0.31,30.550636836460658,480.02899169921875,2.0252950191497803,0.31,0.8200768289111909,4.236188933962867,6.5353903997512095,0.8779458176522028,0.2492654664175851,3456.2380952380954,101.13809603736514,0.1451428553887776,0.8119999766349792,9.380952380952381
12,0.6534000039100647,10.240228074074066,3.4402720370370368,25.63056229629629,0.38,31.403036026727584,480.02899169921875,2.0252950191497803,0.38,0.79683565951529,3.8446916228248957,6.4111012163616365,0.8380868491672334,0.25439917189734323,3630.690476190476,106.44047637212844,0.10021428338118962,0.8119999766349792,2.9047619047619047
13,0.5365999937057495,10.406136846153851,3.727583380769232,26.445274807692325,0.54,31.836128144037154,480.02899169921875,2.0252950191497803,0.54,0.8193291695345015,4.244249190602984,6.7345456055232455,0.8739672970204126,0.27994234505153837,3571.3333333333335,100.68333362397694,0.14730952289842425,0.8119999766349792,7.857142857142857
14,0.17970000207424164,10.809489111111107,5.030180962962964,29.237700777777796,58.57142857142857,32.33821445041232,480.0289916992188,2.0252950191497803,0.77,0.8401026768343789,4.127802621750605,6.503943545477731,0.9159521488916307,0.3559845856257847,12129.285714285714,86.90000225248791,0.10854761799176534,0.8119999766349792,3.4761904761904763
15,0.4578000009059906,10.968426,5.353118359259263,29.543855851851855,0.38,32.6068967183431,377.52801513671875,2.074491024017334,0.38,1.0095219612121582,4.961929185049875,6.979620138804118,1.176541268825531,0.27760818174907137,8110.0,101.46428407941546,0.16147619343939282,0.8330000042915344,14.666666666666666
16,0.4214736162529846,10.846411115384612,4.905840934615384,29.15283153846154,0.46,32.61796144757952,377.52801513671875,2.074491024017334,0.46,1.0375335741610754,5.020162224769592,6.584758372533889,1.236638788666044,0.27325622276181266,17238.02380952381,93.60952159336635,0.10642857060191177,0.8330000042915344,4.190476190476191
